latitude,longitude,popularity,surcharge
40.7515147,-73.9939557,4101.0,1.0
40.7422567,-74.0043512,9195.0,1.15
40.738552,-73.999684,10284.0,1.2
40.739755,-74.0025244,6099.0,1.15
40.749592,-74.002785,4526.0,1.0
40.7403587,-74.0060505,2176.0,1.15
40.744061,-74.006811,4455.0,1.0
40.747168,-73.9854922,8442.0,1.0
40.7508962,-73.9944062,1445.0,1.0
40.7713964,-73.9564729,2575.0,1.0
40.7747491,-73.9881847,265.0,1.0
40.7633783,-73.9964573,3182.0,1.0
40.7510799,-74.0024878,6825.0,1.0
40.7422885,-74.0044325,4248.0,1.15
40.7510494,-73.9907438,1225.0,1.0
40.7416561,-74.0048858,6525.0,1.15
40.7578357,-73.9871893,2987.0,1.0
40.744646,-74.006385,1546.0,1.0
40.731065,-74.001413,4189.0,1.325
40.741617,-73.993739,6161.0,1.1
40.7271144,-73.9916033,4871.0,1.375
40.7313855,-73.9887572,1425.0,1.3
40.779121,-73.9849977,164.0,1.0
40.74108,-74.001555,3225.0,1.15
40.74463,-73.998972,2507.0,1.0
40.7433226,-74.0068872,2829.0,1.15
40.729258,-73.987191,4573.0,1.3
40.7609292,-73.9691318,790.0,1.0
40.739405,-74.006449,2958.0,1.25
40.727289,-73.99364,3184.0,1.375
40.755035,-73.986639,1290.0,1.0
40.7646309,-73.9955449,3293.0,1.0
40.750209,-74.002332,4640.0,1.0
40.732347,-73.984941,5830.0,1.225
40.74347,-74.007238,2224.0,1.15
40.7194752,-74.0043773,2050.0,1.35
40.7313938,-73.988565,1386.0,1.3
40.739412,-74.00539,4413.0,1.25
40.7209376,-73.9937177,3443.0,1.425
40.739631,-74.006334,4695.0,1.25
40.755469,-73.9856025,1238.0,1.0
40.7304319,-74.000122,3791.0,1.325
40.7270585,-73.991472,4062.0,1.375
40.743945,-73.983627,5119.0,1.0
40.742587,-73.98041,2488.0,1.0
40.756567,-73.990276,4770.0,1.0
40.7869385,-73.9792937,95.0,1.0
40.7284251,-73.9996723,4672.0,1.375
40.7388264,-73.983148,5294.0,1.0
40.740942,-74.007483,6083.0,1.225
40.742811,-73.99658,1107.0,1.0
40.7209376,-73.9937177,3443.0,1.425
40.729725,-73.980858,2693.0,1.225
40.7572335,-73.9897914,7104.0,1.0
40.732347,-73.984941,5830.0,1.225
40.739412,-74.00539,4413.0,1.25
40.727564,-73.99419,1979.0,1.375
40.7313565,-73.982557,4376.0,1.225
40.7382196,-73.9856769,3449.0,1.0
40.7616583,-73.9865645,3732.0,1.0
40.7723305,-73.9527214,545.0,1.0
40.744498,-73.981109,2431.0,1.0
40.7301334,-73.9894829,2207.0,1.3
40.739631,-74.006334,4695.0,1.25
40.745816,-74.005535,448.0,1.0
40.7271144,-73.9916033,4871.0,1.375
40.7402559,-73.9905265,4382.0,1.1
40.7198309,-73.9875431,4995.0,1.4
40.7508988,-73.9981519,219.0,1.0
40.7414956,-74.0050584,1562.0,1.15
40.7434403,-73.919581,70.0,1.0
40.749706,-73.991563,4518.0,1.0
40.738552,-73.999684,10284.0,1.2
40.739405,-74.006449,2958.0,1.25
40.740942,-74.007483,6083.0,1.225
40.742839,-74.000275,2190.0,1.0
40.7736444,-73.9517323,387.0,1.0
40.756766,-73.967152,5682.0,1.0
40.7514557,-73.9760254,4159.0,1.0
40.758981,-73.9959432,504.0,1.0
40.7730148,-73.9521898,305.0,1.0
40.7765623,-73.9527041,2812.0,1.0
40.7270585,-73.991472,4062.0,1.375
40.732548,-73.9877242,2526.0,1.3
40.7586317,-73.9657832,616.0,1.0
40.7198309,-73.9875431,4995.0,1.4
40.7209376,-73.9937177,3443.0,1.425
40.725473,-73.983958,4033.0,1.375
40.739412,-74.00539,4413.0,1.25
40.739631,-74.006334,4695.0,1.25
40.754177,-73.984596,960.0,1.0
40.7271144,-73.9916033,4871.0,1.375
40.738552,-73.999684,10284.0,1.2
40.7422567,-74.0043512,9195.0,1.15
40.74347,-74.007238,2224.0,1.15
40.744186,-73.991871,1855.0,1.0
40.7696238,-73.9919069,458.0,1.0
40.720836,-73.997655,4666.0,1.35
40.7270585,-73.991472,4062.0,1.375
40.7332799,-73.9871911,2235.0,1.16666666667
40.740261,-74.005864,3218.0,1.15
40.740942,-74.007483,6083.0,1.225
40.7428829,-74.0039992,2252.0,1.15
40.725473,-73.983958,4033.0,1.375
40.7271144,-73.9916033,4871.0,1.375
40.7347337,-73.9905653,453.0,1.33333333333
40.7496412,-73.9815997,380.0,1.0
40.7656116,-73.9606918,234.0,1.0
40.7216124,-73.9934649,2302.0,1.425
40.739405,-74.006449,2958.0,1.25
40.7410838,-74.0053798,1764.0,1.15
40.745294,-73.998486,3904.0,1.0
40.7763503,-73.9822502,344.0,1.0
40.7844628,-73.9773621,2717.0,1.0
40.7288005,-74.0004308,2844.0,1.375
40.732548,-73.9877242,2526.0,1.3
40.740733,-73.981762,1383.0,1.0
40.740942,-74.007483,6083.0,1.225
40.7561287,-73.9676094,3653.0,1.0
40.7198309,-73.9875431,4995.0,1.4
40.721449,-73.997399,4163.0,1.425
40.7263629,-73.9917229,4796.0,1.375
40.729558,-73.989902,2976.0,1.3
40.7336146,-74.0028201,4092.0,1.325
40.741628,-74.00697,1664.0,1.15
40.7622894,-73.9723599,2255.0,1.0
40.7752903,-73.9536285,2153.0,1.0
40.7946106,-73.971682,2256.0,1.0
40.7198469,-74.0051916,2118.0,1.3
40.72958,-73.993262,1089.0,1.33333333333
40.7314023,-73.9826672,2444.0,1.225
40.7516675,-73.9943167,420.0,1.0
40.7555037,-73.9680652,4659.0,1.0
40.7627499,-73.9969249,1458.0,1.0
40.740261,-74.005864,3218.0,1.15
40.7428292,-74.0056997,1861.0,1.15
40.7629781,-73.9718586,5430.0,1.0
40.733372,-74.002572,2383.0,1.325
40.7685508,-73.9851586,3014.0,1.0
40.7784812,-73.9854503,321.0,1.0
40.725473,-73.983958,4033.0,1.375
40.7313855,-73.9887572,1425.0,1.3
40.7314023,-73.9826672,2444.0,1.225
40.733372,-74.002572,2383.0,1.325
40.73884,-73.985232,2360.0,1.0
40.741351,-73.981312,2720.0,1.0
40.7596264,-73.9954726,1694.0,1.0
40.7634284,-73.9927002,2010.0,1.0
40.720836,-73.997655,4666.0,1.35
40.7410838,-74.0053798,1764.0,1.15
40.7485715,-73.9886575,1694.0,1.0
40.763043,-73.956526,117.0,1.0
40.7710532,-73.9596512,819.0,1.0
40.740853,-73.985879,3170.0,1.0
40.7415262,-74.0049084,2751.0,1.15
40.7524145,-73.9783711,1461.0,1.0
40.7636462,-73.9776851,3246.0,1.0
40.7795072,-73.9555814,3382.0,1.0
40.7205251,-73.9895878,840.0,1.5
40.7407313,-74.00896,1148.0,1.225
40.7408505,-74.0051265,2271.0,1.15
40.741668,-74.001129,1660.0,1.15
40.742089,-73.984977,2267.0,1.0
40.742901,-73.992805,2181.0,1.0
40.754842,-73.984118,1590.0,1.0
40.7604088,-73.9874753,3427.0,1.0
40.76661,-73.9866698,648.0,1.0
40.7216124,-73.9934649,2302.0,1.425
40.734659,-73.988286,2617.0,1.16666666667
40.737361,-73.99684,4402.0,1.2
40.7404552,-74.0020106,2000.0,1.15
40.7502935,-73.9948451,2519.0,1.0
40.719005,-74.005174,2457.0,1.3
40.7270081,-73.9998648,2346.0,1.375
